field,id_field
PX_CLOSE_1D,0
PX_CLOSE_DT,0
PX_DIRTY_MID,0
PX_DIRTY_MID_EOD,0
PX_DISC_MID,0
PX_LAST,0
PX_LAST_EOD,0
PX_MID,0
PX_POS_MULT_FACTOR,0
PX_VOLUME_1D,0
PX_YEST_CLOSE,0
QUOTE_FACTOR,0
QUOTE_TYP,0
RECEIVE_FLT_RATE_IDX,0
REDEMP_VAL,0
REFERENCE_INDEX,0
REFERENCE_INDEX_TERM,0
RISK_MID,0
RTG_MOODY_NO_WATCH,0
RTG_SP_NO_WATCH,0
SECURITY_DES,0
SECURITY_NAME,0
SECURITY_TYP,0
SECURITY_TYP2,0
SINKABLE,0
SINKING_FUND_FACTOR,0
START_ACC_DT,0
STATE_CODE,0
STRIP_TYPE,0
STRUCTURED_NOTE_TYPE,0
SW_CDS_BUY_SELL_FLAG,0
SW_DEAL_NOTL_AMT,0
SW_NET_ACC_INT,0
SW_PAY_FREQ,0
SW_PRIMARY_REF_OBLIGATION_ISIN,0
SW_REC_FREQ,0
TICKER,1
TICKER_AND_EXCH_CODE,1
TOTAL_EQUITY,0
TRACE_TIME_OF_TRADE,0
TRADE_CRNCY,0
TRUST_PREFERRED_INDICATOR,0
ULT_PARENT_CNTRY_OF_RISK,0
UNDERLYING_CUSIP,0
UNDERLYING_ISIN,0
UNDERLYING_SECURITY_DES,0
UNDL_SPOT_TICKER,0
VOLATILITY_10D,0
VOLATILITY_120D,0
VOLATILITY_30D,0
VOLATILITY_60D,0
VOLATILITY_90D,0
VOLUME_AVG_10D,0
VOLUME_AVG_20D,0
VOLUME_AVG_30D,0
VOLUME_AVG_3M,0
VOLUME_AVG_6M,0
WORKOUT_PX_BID,0
WRT_OUTSTANDING,0
WRT_SH_PER,0
YAS_BOND_YLD,0
YAS_MOD_DUR,0
YAS_YLD_SPREAD,0
YRS_TO_MTY_ISSUE,0
