id_bb_global,id_isin,id_cusip,id_sedol1,ticker,name,exch_code,issuer,market_sector_des
BBG0000JFHY6,US74042QAC15,74042QAC1, ,EG5645239,PREFERRED TERM SECS XXVI,TRACE,PREFERRED TERM SECS XXVI,Corp
BBG0000JFJ18,US74042QAL14,74042QAL1, ,EG5645353,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JFJ36,USG72219AC53,EG5645437,B1Z7P74,EG5645437,PREFERRED TERM SECS XXVI,TRACE,PREFERRED TERM SECS XXVI,Corp
BBG0000JFJ45,US74042QAD97,74042QAD9, ,EG5645478,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JFJ54,USG72219AG67,EG5645510,B1Z7PC9,EG5645510,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JFJ63,US74042QAE70,74042QAE7, ,EG5645551,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JFJS9,US74042QAM96,74042QAM9, ,EG5646278,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JFRQ3,USG72219AD37,EG5654876,B1Z7P85,EG5654876,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG00004R260,US74042QAF46,74042QAF4, ,EG5655717,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JGH57,US74042QAJ67,74042QAJ6, ,EG5693601,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JGHH4,US74042QAK31,74042QAK3, ,EG5694005,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JGHP5,USG72219AF84,EG5694286,B1Z7PB8,EG5694286,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JGJJ8,US74042QAG29,74042QAG2, ,EG5695325,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JGJS8,US74042QAH02,74042QAH0, ,EG5695648,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JGJW3,USG72219AE10,EG5695762,B1Z7P96,EG5695762,PREFERRED TERM SECS XXVI,NOT LISTED,PREFERRED TERM SECS XXVI,Corp
BBG0000JH6W0, ,EG5746656, ,EG5746656,BICE SECURITIZADORA S.A.,SANTIAGO,BICE SECURITIZADORA S.A.,Corp
BBG0000JHCR3, ,EG5752779, ,EG5752779,EMBOTELLADORA ANDINA SA,SANTIAGO,EMBOTELLADORA ANDINA SA,Corp
BBG0000JHN08,US74732PAG90,74732PAG9, ,EG5892500,PYXIS LTD 2007-7,NOT LISTED,PYXIS LTD 2007-7,Corp
BBG0000JHN26,USG7304LAG98,EG5892583, ,EG5892583,PYXIS LTD 2007-7,NOT LISTED,PYXIS LTD 2007-7,Corp
BBG00007MNH0, ,EG5910799, ,EG5910799,BICE SECURITIZADORA S.A.,SANTIAGO,BICE SECURITIZADORA S.A.,Corp
BBG0000B2ZM0, ,EG6124150, ,EG6124150,SOC CONCESION MELIPILLA,SANTIAGO,SOC CONCESION MELIPILLA,Corp
BBG0000DCBM8, ,EG6253991, ,EG6253991,EMPRESA DE TRANSPORTE ME,SANTIAGO,EMPRESA DE TRANSPORTE ME,Corp
BBG0000DCCM6, ,EG6254270, ,EG6254270,BANCO DE CRED E INVER,SANTIAGO,BANCO DE CRED E INVER,Corp
BBG0000F7WV3,CL0001242800,EG6309090, ,EG6309090,SECURITIZADORA INTERAMER,SANTIAGO,SECURITIZADORA INTERAMER,Corp
BBG0000JJRZ9, ,EG6509319, ,EG6509319,EMBOTELLADORA ANDINA SA,SANTIAGO,EMBOTELLADORA ANDINA SA,Corp
BBG0000JKYC7, ,EG6558779, ,EG6558779,EMPRESA DE LOS FERROCARR,SANTIAGO,EMPRESA DE LOS FERROCARR,Corp
BBG0000JLC70,CL0001230284,EG6592943, ,EG6592943,ENEL GENERACION CHILE SA,SANTIAGO,ENEL GENERACION CHILE SA,Corp
BBG0000JLCC4, ,EG6593107, ,EG6593107,EMPRESA DE LOS FERROCARR,SANTIAGO,EMPRESA DE LOS FERROCARR,Corp
BBG0000JLD41, ,EG6594063, ,EG6594063,BANCO DE CRED E INVER,SANTIAGO,BANCO DE CRED E INVER,Corp
BBG00008K5S7,XS0318345971,EG7611023,B2458J9,EG7611023,EUROPEAN INVESTMENT BANK,BERLIN,EUROPEAN INVESTMENT BANK,Corp
BBG0000KGQ45,US74042TAA97,74042TAA9,B8DXNW4,EG8410961,PRETSL XXVII LTD,TRACE,PRETSL XXVII LTD,Corp
BBG0000KGQB7,USG7222BAA38,EG8411209,B2824P4,EG8411209,PRETSL XXVII LTD,DUBLIN,PRETSL XXVII LTD,Corp
BBG0000KGQD5,US74042TAB70,74042TAB7, ,EG8411282,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KGVT7,US74042TAD37,74042TAD3, ,EG8416802,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KGX31,US74042TAC53,74042TAC5,BYVS226,EG8418444,PRETSL XXVII LTD,TRACE,PRETSL XXVII LTD,Corp
BBG0000KGXG7,USG7222BAB11,EG8418881,B2824Q5,EG8418881,PRETSL XXVII LTD,DUBLIN,PRETSL XXVII LTD,Corp
BBG0000KGY02,US74042TAE10,74042TAE1, ,EG8419525,PRETSL XXVII LTD,TRACE,PRETSL XXVII LTD,Corp
BBG0000KGZ09,US74042TAF84,74042TAF8, ,EG8420762,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KGZ27,USG7222BAC93,EG8420846,B2824R6,EG8420846,PRETSL XXVII LTD,DUBLIN,PRETSL XXVII LTD,Corp
BBG0000KGZH1,US74042TAJ07,74042TAJ0, ,EG8421323,PRETSL XXVII LTD,TRACE,PRETSL XXVII LTD,Corp
BBG0000KGZM5,US74042TAK79,74042TAK7, ,EG8421489,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KGZR0,USG7222BAE59,EG8421646,B2824S7,EG8421646,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KH0N0,US74042TAM36,74042TAM3, ,EG8422768,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KH112,US74042TAL52,74042TAL5, ,EG8423246,PRETSL XXVII LTD,TRACE,PRETSL XXVII LTD,Corp
BBG0000KH149,USG7222BAF25,EG8423360,B2824T8,EG8423360,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KH1G6,US74042TAN19,74042TAN1, ,EG8423766,PRETSL XXVII LTD,TRACE,PRETSL XXVII LTD,Corp
BBG0000KH1S3,USG7222BAG08,EG8424160, ,EG8424160,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000KH1V9,US74042TAP66,74042TAP6, ,EG8424244,PRETSL XXVII LTD,NOT LISTED,PRETSL XXVII LTD,Corp
BBG0000DDD52,US74042CAA62,74042CAA6,B8J7137,EH0002418,PREF TERM SEC XXVIII LTD,TRACE,PREF TERM SEC XXVIII LTD,Corp
BBG0000DM666,US74042CAE84,74042CAE8, ,EH0002970,PREF TERM SEC XXVIII LTD,TRACE,PREF TERM SEC XXVIII LTD,Corp
BBG0000DPLG9,USG7223TAC92,EH0003093,B299WW7,EH0003093,PREF TERM SEC XXVIII LTD,NOT LISTED,PREF TERM SEC XXVIII LTD,Corp
BBG0000DR288,US74042CAF59,74042CAF5, ,EH0003135,PREF TERM SEC XXVIII LTD,NOT LISTED,PREF TERM SEC XXVIII LTD,Corp
BBG0000DRY51,USG7223TAA37,EH0003176,B299WT4,EH0003176,PREF TERM SEC XXVIII LTD,NOT LISTED,PREF TERM SEC XXVIII LTD,Corp
BBG0000DRY42,US74042CAB46,74042CAB4, ,EH0003218,PREF TERM SEC XXVIII LTD,NOT LISTED,PREF TERM SEC XXVIII LTD,Corp
BBG0000DVRX0,US74042CAC29,74042CAC2,B3VZQZ1,EH0003697,PREF TERM SEC XXVIII LTD,TRACE,PREF TERM SEC XXVIII LTD,Corp
BBG0000DWP54,US74042CAG33,74042CAG3, ,EH0003770,PREF TERM SEC XXVIII LTD,TRACE,PREF TERM SEC XXVIII LTD,Corp
BBG0000DWTB9,US74042CAD02,74042CAD0, ,EH0003937,PREF TERM SEC XXVIII LTD,NOT LISTED,PREF TERM SEC XXVIII LTD,Corp
BBG00000GD20,USG7223TAD75,EH0003978,B299WX8,EH0003978,PREF TERM SEC XXVIII LTD,NOT LISTED,PREF TERM SEC XXVIII LTD,Corp
BBG0000DWTW6,US74042CAH16,74042CAH1, ,EH0004059,PREF TERM SEC XXVIII LTD,TRACE,PREF TERM SEC XXVIII LTD,Corp
BBG0000DWVC3,USG7223TAB10,EH0004091,B299WV6,EH0004091,PREF TERM SEC XXVIII LTD,NOT LISTED,PREF TERM SEC XXVIII LTD,Corp
BBG0000L12G9,XS0311435787,EH0136869, ,EH0136869,PACIFIC INTL FIN LIMITED,NOT LISTED,PACIFIC INTL FIN LIMITED,Corp
BBG0000L7Z70,PEP11600D052,EH0543148,BD05050,EH0543148,BBVA BANCO CONTINENTAL,LIMA,BBVA BANCO CONTINENTAL,Corp
BBG0000NB1L0,MX0QBA070037,EH2581658, ,EH2581658,BANCO MERCANTIL DEL NORT,MEXICO,BANCO MERCANTIL DEL NORT,Corp
BBG00000D8R7, ,EH3101571, ,EH3101571,BANCO FALABELLA,SANTIAGO,BANCO FALABELLA,Corp
BBG0000B1W20, ,EH3419262, ,EH3419262,BANMEDICA SA,SANTIAGO,BANMEDICA SA,Corp
BBG0000PP5K2,PEP70500M459,EH4760607,B407826,EH4760607,TELEFONICA DEL PERU S.A.,LIMA,TELEFONICA DEL PERU S.A.,Corp
BBG00000DKL6,PEP11600D086,EH5520976,BD05083,EH5520976,BBVA BANCO CONTINENTAL,LIMA,BBVA BANCO CONTINENTAL,Corp
BBG00000CQQ9,PEP11600D094,EH6560070,BD00C93,EH6560070,BBVA BANCO CONTINENTAL,LIMA,BBVA BANCO CONTINENTAL,Corp
BBG0000BF0R8,PAL3021716A3,EH6856262, ,EH6856262,BANCO GENERAL S.A.,PANAMA,BANCO GENERAL S.A.,Corp
BBG0000RT2M9, ,EH8098780, ,EH8098780,MASISA,SANTIAGO,MASISA,Corp
BBG0000705V7, ,EH8133967, ,EH8133967,AES GENER SA,SANTIAGO,AES GENER SA,Corp
BBG0000W8PW9, ,EH8187443, ,EH8187443,EMPRESAS CAROZZI SA,SANTIAGO,EMPRESAS CAROZZI SA,Corp
BBG0000XNXM4, ,EH8288456, ,EH8288456,INVERSIONES CMPC SA,SANTIAGO,INVERSIONES CMPC SA,Corp
BBG0000Y5ZY4, ,EH8327494, ,EH8327494,EMPRESA OBRAS SANITARIAS,SANTIAGO,EMPRESA OBRAS SANITARIAS,Corp
BBG00000F2Y0,PEP72900M038,EH8361022,B7F18B3,EH8361022,CONC TRASVASE OLMOS SA,LIMA,CONC TRASVASE OLMOS SA,Corp
BBG00000FN65,PEP72900M046,EH8361063,BD00DB2,EH8361063,CONC TRASVASE OLMOS SA,LIMA,CONC TRASVASE OLMOS SA,Corp
BBG0000Y7TL0,CL0001517193,EH8394437, ,EH8394437,SIGDO KOPPERS SA,SANTIAGO,SIGDO KOPPERS SA,Corp
BBG0000Y7TW8, ,EH8394916, ,EH8394916,CENCOSUD SA,SANTIAGO,CENCOSUD SA,Corp
BBG00008YW21, ,EH8403246, ,EH8403246,CIA CERVECERIAS UNIDAS,SANTIAGO,CIA CERVECERIAS UNIDAS,Corp
BBG00005T2P4,CL0001228700,EH8518910, ,EH8518910,COLBUN SA,SANTIAGO,COLBUN SA,Corp
BBG0000XNRT0, ,EH8539569, ,EH8539569,SACI FALABELLA,SANTIAGO,SACI FALABELLA,Corp
BBG0000YC331,CL0001203414,EH8557652, ,EH8557652,CELULOSA ARAUCO CONSTITU,SANTIAGO,CELULOSA ARAUCO CONSTITU,Corp
BBG0000YC812,CL0001517359,EH8569541, ,EH8569541,SOC QUIMICA Y MINERA DE,SANTIAGO,SOC QUIMICA Y MINERA DE,Corp
BBG0000YD2W0,CL0001243246,EH8584672, ,EH8584672,MOLIBDENOS Y METALES SA,SANTIAGO,MOLIBDENOS Y METALES SA,Corp
BBG0000YD5Z0,CL0001208330,EH8591073, ,EH8591073,CENCOSUD SA,SANTIAGO,CENCOSUD SA,Corp
BBG0000Y61Y8,CL0001516427,EH8605360, ,EH8605360,SALFACORP,SANTIAGO,SALFACORP,Corp
BBG0000YD6P9,CL0001230326,EH8606723, ,EH8606723,ENEL GENERACION CHILE SA,SANTIAGO,ENEL GENERACION CHILE SA,Corp
BBG0000YD6Z8,CL0001257956,EH8607606, ,EH8607606,PLAZA,SANTIAGO,PLAZA,Corp
BBG0000YDKB3,CL0001208298,EH8617654, ,EH8617654,CENCOSUD SA,SANTIAGO,CENCOSUD SA,Corp
BBG0000YDKM1, ,EH8618298, ,EH8618298,CIA GENERAL ELECTRICIDAD,SANTIAGO,CIA GENERAL ELECTRICIDAD,Corp
BBG0000YDL49, ,EH8619056, ,EH8619056,ESSBIO SA,SANTIAGO,ESSBIO SA,Corp
BBG0000YDMK9, ,EH8620773, ,EH8620773,CHILQUINTA ENERGIA SA,SANTIAGO,CHILQUINTA ENERGIA SA,Corp
BBG0000YDV56,CL0001243170,EH8636183, ,EH8636183,EMPRESA DE TRANSPORTE ME,SANTIAGO,EMPRESA DE TRANSPORTE ME,Corp
BBG0000L7Y37, ,EH8743948, ,EH8743948,RIPLEY CHILE SA,SANTIAGO,RIPLEY CHILE SA,Corp
BBG0000H4MW3, ,EH9091107, ,EH9091107,CIA ELECTRO METALURGICA,SANTIAGO,CIA ELECTRO METALURGICA,Corp
BBG00000C8F1,PEP14800D105,EH9110550,B78MNT6,EH9110550,BANCO INTERNAC DEL PERU,LIMA,BANCO INTERNAC DEL PERU,Corp
BBG0000JF8S3,XS0442188362,EH9186816, ,EH9186816,SOLAR FUNDING I LTD,NOT LISTED,SOLAR FUNDING I LTD,Corp
BBG0000LCBM0, ,EH9421403, ,EH9421403,TRANSELEC SA,SANTIAGO,TRANSELEC SA,Corp
BBG0000D1N35,MX95CF160077,EH9974369, ,EH9974369,BANK OF AMERICA (CFE),MEXICO,BANK OF AMERICA (CFE),Corp
BBG0000FNVJ1,PEP70500M566,EI0038725,BD00G35,EI0038725,TELEFONICA DEL PERU S.A.,LIMA,TELEFONICA DEL PERU S.A.,Corp
BBG0000GHXR3,KYG773751063,EI0070108, ,EI0070108,SABADELL INTERNATIONAL,AIAF,SABADELL INTERNATIONAL,Corp
BBG0000GVPC0, ,EI0375754, ,EI0375754,CIA GENERAL ELECTRICIDAD,SANTIAGO,CIA GENERAL ELECTRICIDAD,Corp
BBG0000QKH65, ,EI0557047, ,EI0557047,EMPRESA DE TRANSPORTE ME,SANTIAGO,EMPRESA DE TRANSPORTE ME,Corp
BBG0000F9BN6, ,EI0602470, ,EI0602470,INVERSIONES CONFUTURO SA,SANTIAGO,INVERSIONES CONFUTURO SA,Corp
BBG0000R7YL4,CL0001517284,EI0719365, ,EI0719365,SONDA SA,SANTIAGO,SONDA SA,Corp
BBG0000K1DY7, ,EI0751590, ,EI0751590,EMPRESAS COPEC SA,SANTIAGO,EMPRESAS COPEC SA,Corp
BBG00002LST8,CL0001516211,EI0902300, ,EI0902300,VINA SANTA RITA SA,SANTIAGO,VINA SANTA RITA SA,Corp
BBG000053245,COV1KCB00017,EI0985107, ,EI0985107,PATR AUT AGUA 2008-1,COLOMBIA,PATR AUT AGUA 2008-1,Corp
BBG0000H2Q38, ,EI1182340, ,EI1182340,TRANSELEC SA,SANTIAGO,TRANSELEC SA,Corp
BBG0000H4Y84,CL0001517144,EI1185764, ,EI1185764,SECURITY HOLDINGS S.A.,SANTIAGO,SECURITY HOLDINGS S.A.,Corp
BBG0000WBC18,USG72212AF32,EI2582233, ,EI2582233,PREFERRED TERM SECS XIX,NOT LISTED,PREFERRED TERM SECS XIX,Corp
BBG0000WBCG2,USG7221CAA20,EI2582753,B06Y8L2,EI2582753,PREFERRED TERM SECS XVII,NOT LISTED,PREFERRED TERM SECS XVII,Corp
BBG0000WVQ15,CL0001203109,EI2721898,BVGDG01,EI2721898,AGUAS ANDINAS SA,SANTIAGO,AGUAS ANDINAS SA,Corp
BBG0000D9VR3,CL0001229351,EI3071806,BKMDK51,EI3071806,CRISTALERIAS DE CHILE SA,SANTIAGO,CRISTALERIAS DE CHILE SA,Corp
BBG00000GGM1, ,EI3251796, ,EI3251796,CIA GENERAL ELECTRICIDAD,SANTIAGO,CIA GENERAL ELECTRICIDAD,Corp
BBG0014PN038, ,EI3570393, ,EI3570393,EMPRESA OBRAS SANITARIAS,SANTIAGO,EMPRESA OBRAS SANITARIAS,Corp
BBG0014PN9V8,CL0001230623,EI3581879, ,EI3581879,EMPRESA OBRAS SANITARIAS,SANTIAGO,EMPRESA OBRAS SANITARIAS,Corp
BBG0014WMQY3, ,EI3813082, ,EI3813082,ITAU CORPBANCA,SANTIAGO,ITAU CORPBANCA,Corp
BBG0014XNP90,BRSBSPDBS0W3,EI3820178, ,EI3820178,CIA SANEAMENTO BASICO,SAO PAULO,CIA SANEAMENTO BASICO,Corp
BBG0014ZT726, ,EI3837867, ,EI3837867,ITAU CORPBANCA,SANTIAGO,ITAU CORPBANCA,Corp
BBG00164RM59,US71656LAF85,71656LAF8,B4SDKS6,EI4094765,PETROLEOS MEXICANOS,TRACE,PETROLEOS MEXICANOS,Corp
BBG0016N7CY9,US71656MAF68,71656MAF6,B4KB3F6,EI4137622,PETROLEOS MEXICANOS,FRANKFURT,PETROLEOS MEXICANOS,Corp
BBG0017FY650,US29244AAK88,29244AAK8,B57R0T7,EI4398257,EMP DISTRIBUIDORA NORTE,TRACE,EMP DISTRIBUIDORA NORTE,Corp
BBG0017FY767,USP3710FAJ32,EI4398372,B4TW1Z6,EI4398372,EMP DISTRIBUIDORA NORTE,TRACE,EMP DISTRIBUIDORA NORTE,Corp
BBG001812Y45,XS0556373347,EI4473803,B5WJZ04,EI4473803,COSAN OVERSEAS LTD,LUXEMBOURG,COSAN OVERSEAS LTD,Corp
BBG0018LP120,US370835AB62,370835AB6,B5M3NY6,EI4602765,GENERAL SHOPPING FINANCE,TRACE,GENERAL SHOPPING FINANCE,Corp
